스킬명	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb
<트랩>얼음정령계9	1	2	1	1	1404									101																																																		
<트랩>얼음정령계10	1	2	1	1	1404									101																																																		
<트랩>얼음정령계11	1	2	1	1	1404									101																																																		
<트랩>얼음정령계12	1	2	1	1	1404									101																																																		
<BOSS><페인그로우>콜오브네임	210	1	2	100	1	1																																								6													1					
<BOSS><페인그로우>아이스보이스	1	2	1	1	1404									101																																																		
<BOSS><페인그로우>블리자드라	1	2	1	1	304									101																																																		
<소환><페인그로우>콜오브네임																																																																
불속성망토	10	2	2	100	1															116																												2						1										
물속성망토	10	2	2	100	1															116																												2						1										
땅속성망토	10	2	2	100	1															116																												2						1										
공기속성망토	10	2	2	100	1															116																												2						1										
마법속성망토	10	2	2	100	1															116																												2						1										
얼음속성망토	10	2	2	100	1															116																												2						1										
번개속성망토	10	2	2	100	1															116																												2						1										
독속성망토	10	2	2	100	1															116																												2						1										
디텍트스킬	20	2	2	100	302												11																																							1			1					
종족전버프	10	2	2	100	1																																											2				1												
<BOSS><서킷오더>그레이트 서킷	1	2	1	1	1304									101																																																		
<BOSS><서킷오더>래시 볼트	1	2	1	1	1404									101																																																		
<BOSS><서킷오더>썬더 오브	1	2	1	1	1304									101																																																		
<트랩>번개정령계_낙뢰	1	2	1	1	304									101																																																		
<트랩>번개정령계_울타리	1	2	1	1	404									101																																																		
<트랩>번개정령계_환형	1	2	1	1	304									101																																																		
<트랩>독정령계_독가스	1	2	1	1	304									101																																																		
<트랩>독정령계_독가시	1	2	1	1	304									101																																																		
<트랩>독정령계_독웅덩이	1	2	1	1	304									101																																																		
<BOSS><디스호프>베놈브레스	1	2	1	1	304									101																																																		
<BOSS><디스호프>트랩바인	1	2	1	1	1404									101																																																		
<BOSS><디스호프>포이즌아이	1	2	1	1	304									101																																																		
<BOSS><쉐도우 로드>스킬1	1	2	1	1	1404									101																																																		
<BOSS><쉐도우 로드>스킬2	1	2	1	1	304									101																																																		
천사의날개	10	2	2	100	1															116																												2						1										
절대자의날개	10	2	2	100	1															116																												2						1										
람다	210	2	2	100	1															10																										8		2						1					1					
<소환>람다																																																																
멀쿤	210	2	2	100	1															10																										8		2						1					1					
<소환>멀쿤																																																																
아브라햐	210	2	2	100	1															10																										8		2						1					1					
<소환>아브라햐																																																																
조각케익	10	2	2	100	1															116																																												
케익	10	2	2	100	1															116																																												
각성의부적plus	10	2	2	100	1																																											2			1	3		1										
렌즈스톤plus	10	2	2	100	1															116																								4				2			1			1										
악마의날개	10	2	2	100	1															116																												2						1										
박쥐의날개	10	2	2	100	1															116																												2						1										
금시조의 날개	10	2	2	100	1															116																												2						1										
불사조의 날개	10	2	2	100	1															116																												2						1										
정령지배의망토	10	2	2	100	1															116																												2						1										
세라자란	210	2	2	100	1															10																										8		2						1					1					
<소환>세라자란																																																																
																																																																
고레벨 스킬																																																																
라이트닝 베인	1	1	1	101	304	1								103																																																		
파워 스마이트	21	1	1	1	202	1								101						10																					2																							
리듀스 그라운드	21	1	1	1	1404	1								101						10																					2																							
스킨터치	21	1	1	1	202	1								101						10																					2																							
마칭 송	10	1	2	100	303	1														10																					2																							
홀드 업 더 컬러즈	10	1	2	100	303	1														10																					2																							
하울 오브 나이트	10	1	1	100	702	1														10																					2																		2					
이베이젼	10	1	2	100	1	1	1000										12																								2																							
디펜스 매직	10	1	2	100	1	1	1000										13																								2																							
디바인 프로텍션	10	1	2	100	303	1																																			2																			1				
실드 마스터리	9	1	2	111	1				5											107																																												
제로 샷	21	1	1	1	202	1								101						10																					2																							
선더볼트	21	1	1	1	1304	1								109						10																					1																							
이레이져	21	1	1	1	1304	1								101						10																					1																							
아이스 웨이브	21	1	1	1	1304	1								101						10																					1																							
블래스	10	1	1	100	702	1														10																					2																		2					
베네딕션	10	1	2	100	1	1	1000										17																								2																							
레이 아웃	20	1	1	1	1304	1														10																					1																							
리무브 파워	20	1	1	1	1304	1														10																					1																							
보이드 엘레멘탈	40	1	1	1	2	1																					12														1																							
샤웃 오브 빅토리	20	1	1	1	202	1											14																								1																							
보우 마스터리	9	1	2	111	1				6											107																																												
트루 사이트	40	1	1	100	302	1																																			2															2			1					
솔리드 후크	21	1	1	1	202	1								103						10																					1																							
워터 엣지	26	1	1	1	1304	1	1000							110						10																					1																							
드레인 헬스	1	1	1	1	202	1								103																							6				1																							
스파인 포레스트	23	1	1	1	1304	1								103						10																					2																							
라이즈 매직 파워	10	1	1	110	303	1														10																					2																							
배틀 로어	10	1	1	111	201	1														10																					1																							
매직 컷	20	1	1	1	1304	1														10																					1																							
퍼펙트	40	1	1	1	202	1			1																		16														1																							
벨라스티 큐어	40	1	1	100	702	1														10																					2																		2				1	
스태프 마스터리	9	1	2	111	1				10											107																																												
헤비 레리어트	21	1	1	1	304	1								101						10																					2																							
랜드 버스트	21	1	1	1	404	1								101						10																					2																							
커스 엘레멘탈	21	1	1	1	202	1								101						10																					2																							
데스 블로우	1	1	1	1	202	1								101																											2																							
맨탈 실드	10	1	1	111	702	1														10																					2																		2					
샤웃트 오브 워	10	1	1	110	303	1														10																					2																							
디사이시브 블로우	10	1	1	110	303	1	1000							106																											2																							
블럭 업턴	10	1	1	100	1	1														10																					2																							
인트래피드 스피릿	10	1	2	100	303	1	1000																																		2																			2				
트라이엄프	10	1	1	1	202	1											15																								2																							
웨폰 마스터리	9	1	2	111	1															10																																												
슈팅스타	21	1	1	1	1304	1								101						10																					2																							
블레이즈 피어	21	1	1	1	202	1								101						10																					2																							
글루미 핸드	21	1	1	1	202	1								101						10																					1																							
기믈릿 레이	21	1	1	1	1304	1								101						10										10002											2																							
엘레멘탈 피버	10	1	1	110	303	1														10																					2																							
사이코맨시	10	1	1	110	303	1														10																					2																							
큐어 컨디션	40	1	1	111	2	1																					12														2																							
어네더마	20	1	1	1	202	1														10																					2																							
익스플로시브 테리토리	20	1	1	1	701	1														10																					2																							
디미니쉬	20	1	1	1	2	1														10																					2																							
크로스보우 마스터리	9	1	2	111	1				7											107																																												
블레이드	21	1	1	1	202	1								101						10																					2																							
클라우드 파이어	21	1	1	1	1304	1								103			3			10																					1																							
프리징 소울	21	1	1	1	202	1								103						10																					1																							
윈드 크러쉬	21	1	1	1	1304	1								103						10																					2																							
네크로맨시 스켈레톤 파워	10	1	2	100	5	1														10																			2		2																							
하이브 마인드	10	1	1	110	303	1														10																					2																							
크리에이트 스켈레톤	210	1	2	100	1	1																																			2					1													1					
레퀴엠	20	1	1	1	1304	1														10																					2																							
미라클	40	1	1	111	2	1														10																					1																						1	
캄 슬립	20	1	1	1	701	1											16																								2																							
완드 마스터리	9	1	2	111	1				11											107																																												
하이드 인 사이트	10	1	2	100	1	1											10																								2																		4					
인비저블 블레이드 엑스	21	1	1	111	1304	1								101						10																					2			7																				
리스토레이션	10	1	1	111	201	1														10																					2																						1	
어드벤트 레전드	10	1	2	100	1	1											17																								2																							
투웨폰 마스터리	9	1	1	111	1				14											107																																												
세이프가드	10	1	1	111	201	1														10																					2																							
피어스 블로우	21	1	1	1	202	1								101						10																					2			7																				
히로이즘 마이트	10	1	1	110	303	1														10																					2																							
부스트 업	10	1	1	111	702	1														10																					2																							
라이트닝 러쉬	21	1	1	1	404	1								101			1001			10																					2			7																				
클로즈 핀 에어	21	1	1	1	202	1								101						10																					2			7																				
톡신 핸드	21	1	1	1	202	1								101						10										10002											1																							
서든 스트라이크	21	1	1	1	1304	1								103						10																					1																							
트래듀스 파워	21	1	1	1	202	1								101						10																					1																							
풀 다운 샷	21	1	1	1	1304	1								101						10																					1																							
포 더 갈라	10	1	1	110	303	1	1000							106						10																					2																							
크리스탈 문 워크	10	1	1	110	303	1														10																					2																							
댄싱 투게더	10	1	1	111	201	1														10																					1																							
서제스트 스피드	10	1	1	111	201	1														10																					1																							
엘레멘탈 프렌들리	10	1	1	111	201	1	1000										5																								1																							
섀도우 일루젼	10	1	1	111	702	1											10																								2																		2					
카타리아 마스터리	9	1	2	111	1				12											107																																												
에어 스매쉬	21	1	1	1	202	1								101						10																					1																							
커즈 파워	21	1	1	1	202	1								101						10																					1																							
타이푼	21	1	1	1	1304	1								101						10																					1																							
빅팀 오브 글로리	200	1	2	100	1	1																																			2					1																		
<소환>빅팀 오브 글로리	9	1	1	111	1															10																								6																				
<소환>빅팀 오브 글로리<추가효과>	21	1	1	111	304									101						10																																	1											
디스펠 업스트럭션	10	1	1	111	702	1														10																					2																		2					
윌 셀터	10	1	2	100	5	1														10																			2		2																							
레이 러브	10	1	1	110	303	1														10																					2																							
엘레멘탈 헤이스트	10	1	2	100	5	1														10	4																				2																							
엘레멘탈 배리어	10	1	2	100	501	1														10	8																				2																							
스트라이크 마크	10	1	1	111	201	1														10																					2																							
차크람 마스터리	9	1	2	111	1				13											107																																												
진 각성의 부적	10	2	2	100	1																																											2			1	3		1										
부자의 부적	10	2	2	100	1																																											2			1	6		1										
프리징 포스	21	2	1	1	1304									103						10																					2																							
디바이드 라이트닝	21	2	1	101	404									103						10										10002											2																							
소울 아크	10	2	2	100	309															10																					2																							
프로텍션 아크	10	2	2	100	309															10																					2																							
셀베이션 아크	10	2	2	100	309															10																					2																							
임퍼셉터블	10	2	2	100	1												10																								2																							
포이즌 아머	10	2	2	100	1																																				2				10001																			
리바이벌	40	2	1	111	204																																				2																				1			
홀리 브리스	9	2	2	111	1															116																																												
경험의 부적	10	2	2	100	1																																											2			1	3		1										
초천사의 날개	10	2	2	100	1															116																												2						1										
초절대자의 날개	10	2	2	100	1															116																												2						1										
물리공격력최소	10	2	2	100	1															116																																												
물리방어력최소	10	2	2	100	1															116																																												
최대생력최소	10	2	2	100	1															116																																												
물리공격력소	10	2	2	100	1															116																																												
물리방어력소	10	2	2	100	1															116																																												
최대생명소	10	2	2	100	1															116																																												
초강력 각성의 부족	10	2	2	100	1																																											2			1	3		1										
초강력 행운의 부적	10	2	2	100	1																																											2			1	6		1										
초강력 정령 지배의 망토	10	2	2	100	1															116																												2						1										
루돌프	210	2	2	100	1															10																										8		2						1					1					
<소환>루돌프																																																																
낮은능력2	210	2	2	100	1															10																										8		2						1					1					
<소환>낮은능력2																																																																
낮은능력4	210	2	2	100	1															10																										8		2						1					1					
<소환>낮은능력4																																																																
낮은능력5	210	2	2	100	1															10																										8		2						1					1					
<소환>낮은능력5																																																																
보통능력2	210	2	2	100	1															10																										8		2						1					1					
<소환>보통능력2																																																																
보통능력4	210	2	2	100	1															10																										8		2						1					1					
<소환>보통능력4																																																																
보통능력5	210	2	2	100	1															10																										8		2						1					1					
<소환>보통능력5																																																																
높은능력	210	2	2	100	1															10																										8		2						1					1					
<소환>높은능력																																																																
최상의능력	210	2	2	100	1															10																										8		2						1					1					
<소환>최상의능력																																																																
생명의떡국	10	2	2	100	1															116																1																												
부의조리	10	2	2	100	1															116																																6												
건강의떡국	10	2	2	100	1															116																																												
영광의조리	10	2	2	100	1															116																																1												
번창의떡국	10	2	2	100	1															116																																												
공격형아바타	10	2	2	100	1		1000													10																	1											2				7		1										
방어형아바타	10	2	2	100	1		1000													10																	1											2				7		1										
레벨상승형아바타	10	2	2	100	1															10																1												2				7		1										
<아처>선더볼트	21	1	1	1	1304	1								101						10																																												
<아처>이레이져	21	1	1	1	1304	1								101						10																																												
<아처>아이스웨이브	21	1	1	1	1304	1								101						10																																												
<메이지>스파인포레스트	3	1	1	1	1304	1								103																																																		
<메이지>워터엣지	6	1	1	1	1304	1								103																																																		
<메이지>솔리드후크	21	1	1	1	202	1								103						10																																												
<버서커>헤비레리어트	21	1	1	1	304	1								101						10																																												
<버커서>랜드버스트	21	1	1	1	404	1								101						10																																												
<버서커>커스엘레멘탈	21	1	1	1	202	1								101						10																																												
<헌터>슈팅스타	21	1	1	1	1304	1								101						10																																												
<헌터>글루미핸드	21	1	1	1	202	1								101						10																																												
<헌터>기믈릿레이	21	1	1	1	1304	1								101						10										10002																																		
<엘리멘탈리스트>에어스매쉬	21	1	1	1	202	1								101						10																																												
<엘리멘탈리스트>커즈파워	21	1	1	1	202	1								101						10																																												
<엘리멘탈리스트>타이푼	21	1	1	1	1304	1								101						10																																												
<스워시버클러>운딩크리티컬	21	1	1	1	1304	1								101																10002																																		
<스워시버클러>라이트닝러쉬	21	1	1	1	404	1								101			1001			10																																												
<스워시버클러>인비저블블레이드엑스	21	1	1	111	1304	1								101						10																																												
<영웅 지안>라이트닝 베인	1	1	1	101	304	1								103																																																		
<영웅 지안>리듀스 그라운드	21	1	1	1	1404	1								101						10																																												
<영웅 지안>디펜스 매직	10	1	2	100	1	1	1000										13																																															
<영웅 우드그라실>클라우드 파이어	21	1	1	1	1304	1								103						10																																												
<영웅 우드그라실>윈드 크러쉬	21	1	1	1	1304	1								103						10																																												
<영웅 우드그라실>크리에이트 스켈레톤	210	1	2	100	1	1																																								1													1					
<영웅 그라시아>서든 스트라이크	21	1	1	1	1304	1								103						10																																												
<영웅 그라시아>풀 다운 샷	21	1	1	1	1304	1								101						10																																												
<영웅 그라시아>섀도우 일루젼	10	1	1	111	702	1											10																																										2					
<NPC토톤>빅휠	1	1	1	101	304	1								101																																																		
<NPC토톤>리니어블로우	1	1	1	1	1404	1								101																																																		
<NPC리디아>헬타이푼	5	1	1	1	1304	1			5					103																																																		
<NPC리디아>휠기어	6	1	1	1	1304	1			2					103																																																		
<NPC듀프란>후크	1	1	1	1	304	1								108																																																		
<NPC듀프란>드래곤디바이드	1	1	1	1	1404	1								101																																																		
<NPC베인톤>소울케오스	2	1	1	101	304	1			1					103																																																		
<NPC베인톤>지오샤드	11	1	1	1	202	1			4					103						116												1																																
<NPC에이마드>버라지스트라이크	1	1	1	1	1304	1								101																																																		
<NPC에이마드>익스플로전이미지	21	1	1	1	1304	1								101						10																																												
<NPC로제미라>엘리멘탈스톰	1	1	1	1	1304	1								103																																																		
<NPC로제미라>라이트닝피어	21	1	1	1	1304	1								103			3			10										10002																																		
S초대형 광속의 물약	10	2	2	100	1															116																												2			1			1										
S초대형 방어의 물약	10	2	2	100	1															116																												2			1			1										
S초대형 신속의 물약	10	2	2	100	1															116																												2			1			1										
S초대형 거인의 물약	10	2	2	100	1															116																												2			1			1										
S초대형 회피의 물약	10	2	2	100	1															116																												2			1			1										
<MOB><윙드라치덱>스킬1	1	2	1	1	1304									101																																																		
<MOB><후크제스터>스킬1	1	2	1	1	1404									101																																																		
<MOB><볼케이노울프폼>스킬1	1	2	1	1	1304									101																																																		
<MOB><마스터우드>스킬1	1	2	1	1	1304									101																																																		
<MOB><비스트워리어솔져>스킬1	1	2	1	1	1404									101																																																		
<MOB><비스트워리어체이서>스킬1	1	2	1	1	1404									101																																																		
<MOB><비스트워리어커맨더>스킬1	1	2	1	1	1404									101																																																		
<MOB><페더리드윙솔져>스킬1	1	2	1	1	1404									101																																																		
<MOB><화이트스노우캡터>스킬1	1	2	1	1	1404									101																																																		
<MOB><아이스버그베어>스킬1	1	2	1	1	1304									101																																																		
<MOB><아이싱데스스콜피온>스킬1	1	2	1	1	1304									101																																																		
<BOSS><프로스트혼드데스뮤트>스킬1	1	2	1	1	1304									101																																																		
<MOB><블룬독클로버>스킬1	1	2	1	1	1304									101																																																		
<MOB><블룬독다이아몬드>스킬1	1	2	1	1	1304									101																																																		
<MOB><블룬독스페이드>스킬1	1	2	1	1	1304									101																																																		
<MOB><스피어마스터그린>스킬1	1	2	1	1	1404									101																																																		
<MOB><스피어마스터그레이>스킬1	1	2	1	1	1404									101																																																		
<MOB><스피어마스터옐로>스킬1	1	2	1	1	1404									101																																																		
<MOB><그릿스톰렉펀처>스킬1	1	2	1	1	1304									101																																																		
<MOB><그릿스톰렉스타>스킬1	1	2	1	1	1304									101																																																		
<MOB><그릿스톰렉크러셔>스킬1	1	2	1	1	1304									101																																																		
<MOB><헝거맨워커>스킬1	1	2	1	1	1304									101																																																		
<MOB><미노타우르엑스>스킬1	1	2	1	1	1404									101																																																		
<MOB><서펀트위치>스킬1	1	2	1	1	1304									101																																																		
<MOB><체인소드댄서>스킬1	1	2	1	1	1304									101																																																		
<MOB><랩틸리안솔져>스킬1	1	2	1	1	1304									101																																																		
<MOB><세이버 마릴리스>스킬1	1	2	1	1	1304									101																																																		
<MOB>래틀바이퍼	1	2	1	1	1404									101																																																		
<MOB><스카이어벤져솔져>스킬1	1	2	1	1	1304									101																																																		
<MOB><타이거오루스>스킬1	1	2	1	1	1304									101																																																		
<MOB><서큐버스험블>스킬1	1	2	1	1	1304									101																																																		
<BOSS><그룹소>스킬01	1	2	1	1	1404									101																																																		
<BOSS><그룹소>스킬02	1	2	1	1	1304									101																																																		
3주년펫Lv1	210	2	2	100	1															10																										8		2						1					1					
<소환>3주년펫Lv1																																																																
3주년펫Lv2	210	2	2	100	1															10																										8		2						1					1					
<소환>3주년펫Lv2																																																																
3주년펫Lv3	210	2	2	100	1															10																										8		2						1					1					
<소환>3주년펫Lv3																																																																
3주년펫Lv4	210	2	2	100	1															10																										8		2						1					1					
<소환>3주년펫Lv4																																																																
신념의영웅코스튬	10	2	2	100	1		1000													10																	1											2				7		1										
개척자의코스튬	10	2	2	100	1															10																												2				7		1										
세라자란1Lv	210	2	2	100	1															10																										8		2						1					1					
<소환>세라자란1Lv																																																																
세라자란2Lv	210	2	2	100	1															10																										8		2						1					1					
<소환>세라자란2Lv																																																																
세라자란3Lv	210	2	2	100	1															10																										8		2						1					1					
<소환>세라자란3Lv																																																																
세라자란4Lv	210	2	2	100	1															10																										8		2				1		1					1					
<소환>세라자란4Lv																																																																
귀환자의부적	10	2	2	100	1																																											2			1	1		1										
공격형	10	2	2	100	1		1000													10																	1											2						1										
방어형	10	2	2	100	1		1000													10																	1											2						1										
육성형	10	2	2	100	1		1000													10																												2				7		1										
최강형	10	2	2	100	1		1000													10																												2				7		1										
카오틱디버프	10	1	2	100	1			7												10																																												
<MOB><큐어>스킬1	40	2	2	100	1																						2																																					
혼돈의두개골	10	2	2	100	1		1000													116																	1											2						1										
혼돈의심장	10	2	2	100	1		1000													116																	1																											
혼돈의농축액	10	2	2	100	1															116																																												
혼돈의발톱	10	2	2	100	1															116																																												
마법의결정체	10	2	2	100	1															10																																												
각성의부적130	10	2	2	100	1																																											2			1	3		1										
각성의부적140	10	2	2	100	1																																											2			1	3		1										
각성의부적120	10	2	2	100	1																																											2			1	3		1										
<Battle>모든스탯상승	20010	2	2	101	201															10																																												
<Battle>스킬업그레이드	20010	2	2	101	201															10																			1		2																							
<Battle>최대생명증가	20010	2	2	101	201															10																																												
<Battle>치명타방어력증가	20010	2	2	101	201															10				4																																								
<Battle>보너스경험치증가	20010	2	2	101	201															10																																1												
<Battle>보너스드롭율증가	20010	2	2	101	201															10																																4												
<Battle>보너스겔드량증가	20010	2	2	101	201															10																																2												
<Battle>스킬캐스트감소	20010	2	2	101	201															10																																												
<Battle>스킬쿨타임감소	20010	2	2	101	201															10																																												
<Battle>3대속성공격력증가	20010	2	2	101	201															10																																												
<Battle>3대속성저항력증가	20010	2	2	101	201															10																																												
<Battle>스킬블럭률증가	20010	2	2	101	201															10																																												
<Battle>블럭률증가	20010	2	2	101	201															10																																												
<Battle>물리공격력증가	20010	2	2	101	201															10																																												
<Battle>물리방어력증가	20010	2	2	101	201															10																																												
<Battle>속성공격력증가	20010	2	2	101	201															10																																												
<Battle>속성저항력증가	20010	2	2	101	201															10																																												
<Battle>물리저항력증가	20010	2	2	101	201															10																																												
<Battle>공격률증가	20010	2	2	101	201															10																																												
<Battle>방어율증가	20010	2	2	101	201															10																																												
<Battle>회피율증가	20010	2	2	101	201															10																																												
<Battle>공격속도증가	20010	2	2	101	201															10																																												
<Battle>이동속도증가	20010	2	2	101	201															10																																												
<Battle>생명회복증가	20010	2	2	101	201															10																1																												
<Battle>마나회복증가	20010	2	2	101	201															10																2																												
<Battle>개인어빌리티2	10	2	2	100	2															10																												2																
<Battle>파티어빌리티2	10	2	2	100	206															10																												2																
<Battle>종족어빌리티2	10	2	2	100	207															10																												2																
<Battle>개인어빌리티	10	2	2	100	1		4000													10																								6				2																
<Battle>파티어빌리티	10	2	2	100	1		4000													10																								6				2																
<Battle>종족어빌리티	10	2	2	100	1		4000													10																								6				2																
옹이Lv1	210	2	2	100	1															10																										8		2						1					1					
<소환>옹이Lv1																																																																
옹이Lv2	210	2	2	100	1															10																										8		2						1					1					
<소환>옹이Lv2																																																																
멍구Lv3	210	2	2	100	1															10																										8		2						1					1					
<소환>멍구Lv3																																																																
멍구Lv4	210	2	2	100	1															10																										8		2						1					1					
<소환>멍구Lv4																																																																
테스트용람다	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>테스트용람다																																																																
<MOB><고블린레인져>스킬1	1	2	1	1	1304									101																																																		
<MOB><그리폰>스킬2	1	2	1	1	202									101																																																		
<MOB><그리폰>스킬3	1	2	1	1	1404									101																																																		
<MOB><그리플러>스킬1	1	2	1	1	1404									101																																																		
<MOB><놀>스킬1	1	2	1	1	202									101																																																		
<MOB><라미아>스킬1	1	2	1	1	202									101																																																		
<MOB><록골렘>스킬1	1	2	1	1	202									101																																																		
<MOB><마스터우드>스킬1	1	2	1	1	1404									101																																																		
<MOB><만티코어>스킬1	1	2	1	1	1404									101																																																		
<MOB><머신골렘>스킬1	1	2	1	1	202									101																																																		
<MOB><마릴리스>스킬1	1	2	1	1	202									101																																																		
<MOB><티니드라코니언투척병>스킬1	1	2	1	1	202									101																																																		
<MOB><휴먼궁수경비병>스킬1	1	2	1	1	1304									101																																																		
<MOB><휴먼법사경비병>스킬1	1	2	1	1	202									101																																																		
<MOB><휴먼전사경비병>스킬1	1	2	1	1	304									101																																																		
<MOB><오크법사경비병>스킬1	1	2	1	1	1404									101																																																		
<MOB><오크전사경비병>스킬2	1	2	1	1	1404									101																																																		
<MOB><오크전사경비병>스킬1	1	2	1	1	202									101																																																		
<MOB><문엘프궁수경비병>스킬1	1	2	1	1	202									101																																																		
<MOB><문엘프전사경비병>스킬1	1	2	1	1	1404									101																																																		
<MOB><문엘프법사경비병>스킬1	1	2	1	1	202									101																																																		
두기 Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>두기 Lv 1																																																																
두기 Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>두기 Lv 2																																																																
두기 Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>두기 Lv 3																																																																
두기 Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>두기 Lv 4																																																																
두기 Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>두기 Lv 5																																																																
두기 Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>두기 Lv 6																																																																
두기 Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>두기 Lv 7																																																																
두기 Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>두기 Lv 8																																																																
두기 Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>두기 Lv 9																																																																
두기 Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>두기 Lv 10																																																																
라쿤델 Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>라쿤델 Lv 1																																																																
라쿤델 Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>라쿤델 Lv 2																																																																
라쿤델 Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>라쿤델 Lv 3																																																																
라쿤델 Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>라쿤델 Lv 4																																																																
라쿤델 Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>라쿤델 Lv 5																																																																
라쿤델 Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>라쿤델 Lv 6																																																																
라쿤델 Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>라쿤델 Lv 7																																																																
라쿤델 Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>라쿤델 Lv 8																																																																
라쿤델 Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>라쿤델 Lv 9																																																																
라쿤델 Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>라쿤델 Lv 10																																																																
래티맨 Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>래티맨 Lv 1																																																																
래티맨 Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>래티맨 Lv 2																																																																
래티맨 Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>래티맨 Lv 3																																																																
래티맨 Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>래티맨 Lv 4																																																																
래티맨 Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>래티맨 Lv 5																																																																
래티맨 Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>래티맨 Lv 6																																																																
래티맨 Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>래티맨 Lv 7																																																																
래티맨 Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>래티맨 Lv 8																																																																
래티맨 Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>래티맨 Lv 9																																																																
래티맨 Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>래티맨 Lv 10																																																																
루 Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>루 Lv 1																																																																
루 Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>루 Lv 2																																																																
루 Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>루 Lv 3																																																																
루 Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>루 Lv 4																																																																
루 Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>루 Lv 5																																																																
루 Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>루 Lv 6																																																																
루 Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>루 Lv 7																																																																
루 Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>루 Lv 8																																																																
루 Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>루 Lv 9																																																																
루 Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>루 Lv 10																																																																
밀피 Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>밀피 Lv 1																																																																
밀피 Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>밀피 Lv 2																																																																
밀피 Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>밀피 Lv 3																																																																
밀피 Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>밀피 Lv 4																																																																
밀피 Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>밀피 Lv 5																																																																
밀피 Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>밀피 Lv 6																																																																
밀피 Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1					
<소환>밀피 Lv 7																																																																
밀피 Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1					
