기술 명	기술 설명	스킬레벨	스킬타입		세부스킬타입	나이트클래스전용	아처클래스전용	메이지클래스전용	버서커클래스전용	헌터클래스전용	소서러클래스전용	스워시버클러클래스전용	레인저클래스전용	엘리멘탈리스트클래스전용	슬레이어클래스전용	스카우터클래스전용	서머너클래스전용	시온클래스전용	요구레벨	요구스킬포인트	요구 히로익 포인트	요구 카리스마 포인트	기본 공격포인트	마법 공격포인트	물 공격포인트	공기 공격포인트	땅 공격포인트	불 공격포인트	독 공격포인트	얼음 공격포인트	번개 공격포인트	히로익 공격 포인트		기본 공격%	마법 공격%	물 공격%	공기 공격%	땅 공격%	불 공격%	독 공격%	얼음 공격%	번개 공격%	히로익 공격%			소모생명	소모마나		소모화살	생명감소		시전시간	재시전시간		지속시간	인터벌		시전거리	원형범위	직선범위	직선폭	지속공격	마법 지속공격포인트	물 지속공격포인트	공기 지속공격포인트	땅 지속공격포인트	불 지속공격포인트	독 지속공격포인트	얼음 지속공격포인트	번개 지속공격포인트	히로익 지속공격포인트	지속공격%	마법 지속공격%	물 지속공격%	공기 지속공격%	땅 지속공격%	불 지속공격%	독 지속공격%	얼음 지속공격%	번개 지속공격%	밀림거리	공격반사									내구도 하락량%	영향받는 아이템수	영향 받는 마리수	소환수 레벨 증가	크리티컬 발동 확률	스턴 성공 확률	방패블럭	스턴타임	스턴 생성 간격	크리티컬	스킬사정거리	스킬성공률	공격변환생명	공격변환마나	생명증가포인트	마나증가포인트	1차지공격	2차지공격	3차지공격	어그로돌생명	지속공격간격	마나소모감소	시전시간감소	스킬레벨증가	마나변환생명	데스공격	시간 변경	아이템 부위	비용	업그레이드비용				소환수			추가지속시간	타겟	최대수	최대소환마리수	보너스경험치	보너스겔드	보너스드롭율	피해 흡수율	추가 기본 공격포인트	추가 마법 공격포인트	추가 물 공격포인트	추가 공기 공격포인트	추가 땅 공격포인트	추가 불 공격포인트	추가 독 공격포인트	추가 얼음 공격포인트	추가 번개 공격포인트		추가 기본 공격%	추가 마법 공격%	추가 물 공격%	추가 공기 공격%	추가 땅 공격%	추가 불 공격%	추가 독 공격%	추가 얼음 공격%	추가 번개 공격%		FACTOR_POINT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	블럭률	스킬블럭	최소 히로익 공격	최대 히로익 공격	히로익 방어력	근접 히로익 저항력	원거리 히로익 저항력	마법 히로익 저항력	FACTOR_PERCENT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	블럭률	스킬블럭	물리 방어력 무시	속성 저항력 무시	크리티컬 저항력	desc
<MOB>얼음정령스킬<추가효과>		V																																																																																																																																																																																																																																																																												
<MOB>번개정령스킬<추가효과>		V																																																																																																																																																																																																																																																																												
헬 바운드	대상을 원거리로 공격	V	V	V									V						V	V														V													V		V			V	V	V				V																																																													V				V																																																																																																																																																			
스피어 애로우	직선 범위의 대상을 관통 공격	V	V	V									V						V	V														V													V		V			V	V	V				V		V	V																																																										V				V																																																																																																																																																			
트루 임펙트	대상을 짧은 원거리로 공기의 힘으로 강하게 공격한 후 일정시간 동안 대상의 스킬캐스팅 시간 증가	V	V	V									V						V	V														V			V										V		V			V	V	V	V			V																																																													V				V																																																		V																																																																																																	스킬캐스팅증가
점핑 샷	대상을 공중에서 공격	V	V	V									V						V	V														V													V		V			V	V	V				V																																																													V				V																																																																																																																																																			
체인 리액션	대상을 공격한 후 일정시간 동안 대상의 이동속도와 공격속도 감소 (보우 전용)	V	V	V									V						V	V														V													V		V			V	V	V	V			V																																																													V																																																																																																						V									V																																								이동속도감소\n공격속도감소
멀티 스트라이크	카타리아로 여러 대상을 공격 (카타리아 전용)	V	V	V									V						V	V														V													V					V	V	V				V		V	V																																																										V									V																																																																																																																																														
파워 카타리아	카타리아로 강하게 대상을 공격 (카타리아 전용)	V	V	V									V						V	V														V		V											V					V	V	V				V																																																													V																																																																																																																																																							
스나이프	대상을 먼거리에서 공격 (보우 전용)	V	V	V									V						V	V														V													V		V			V	V	V				V																																																													V																																																																																																																																																							
시퀀스 어택	원거리 원형 범위 내 대상을 공격한 후 일정시간 동안 대상의 이동속도 감소 및 스킬캐스팅 시간 증가	V	V	V									V						V	V														V													V		V			V	V	V	V			V	V																																																												V																																																						V																																																V																																																	이동속도감소\n스킬캐스팅증가
타임 어택	대상을 시간차 공격	V	V	V									V						V	V														V													V					V	V	V	V			V																																																													V																																																																																																																																																							
쉐도우 체이서	대상을 텔레포트 공격 (공성 대상 물체에는 사용 불가능)	V	V	V									V						V	V														V													V					V	V	V				V																																																													V																																																																																																																																																							
엘리멘탈 코어	원거리 원형 범위 내 대상들을 물의 힘으로 공격한 후 일정시간 동안 크리티컬 성공율 감소	V	V	V									V						V	V														V		V											V		V			V	V	V				V	V																																				V																								V																																																																																																																																																							크리티컬성공율감소
에어 워크	일정시간 동안 이동속도 증가	V	V		V								V						V	V																											V					V	V	V	V																																																																V																																																																																																						V																																																	이동속도증가
엘리멘탈 디펜스	일정시간 동안 정령속성 저항력 증가	V	V		V								V						V	V																											V					V	V	V	V																																																																V																																																																														V	V	V	V	V																																																																					정령속성저항증가
파인 보우	일정시간 동안 활의 데미지 증가	V	V		V								V						V	V																											V					V	V	V	V																																																																V																																																											V									V																																																																																			물리공격력증가
파인 카타리아	일정시간 동안 카타리아의 데미지 증가	V	V		V								V						V	V																											V					V	V	V	V																																																																V																																																											V									V																																																																																			물리공격력증가
플레임 포스	불의 힘을 이용해 자기주위의 대상을 지속공격	V	V		V								V						V	V																											V					V	V	V	V	V			V																																																												V																					V																																																																																																																																		불지속대미지
마나 익스팅션	일정시간 동안 일반공격 시 일정확률로 공격 대상의 속성 저항력을 무시	V	V		V								V						V	V																											V					V	V	V	V																																																																V																																																																																																																																																					V		일정확률공격대상의속성저항력무시
라이프 익스팅션	일정시간 동안 공격 성공 시 일정확률로 생명력 흡수	V	V		V								V						V	V																											V					V	V	V	V																																															V	V																V																																																																																																																																																							생명흡수
이터널 소울	일정시간 동안 영웅의 혼이 강림하여 자신의 상태 강화	V	V		V								V						V	V																											V					V	V	V	V																																																																V																																					V	V		V																																																																																																															상태강화
문라잇 피버	일정시간 동안 밤에는 공격력이 증가하고 낮에는 방어력이 증가	V	V		V								V						V	V																											V					V	V	V	V																																																																V																																																											V									V									V																																																																										물리공격력증가(밤)\n물리방어력증가(낮)
배드 프렌즈	일정시간 동안 몬스터를 아군으로 변화	V	V		V								V						V	V																											V					V	V	V	V																																						V									V																	V																																																																																																																																																							아군변화
모탈 대거	원형 범위내 대상들을 회전공격	V	V	V									V						V	V														V		V											V					V	V	V				V	V																																																												V																																																																																																																																																							
인비저블	일정시간 동안 자신의 몸을 가림. 공격 및 스킬사용 시 자동풀림	V	V		V								V						V	V																											V					V	V	V	V																																																																V																																																																																																																																																							투명효과
라이트닝 트랩	번개의 힘을 이용한 트랩	V	V										V						V	V																											V					V	V	V	V			V	V																																																												V							V				V													V																																																																																																																															
<소환>라이트닝 트랩		V																	V																																					V			V																																																																																				V																																																																																																																															
인텐션	물리 저항력 증가	V	V										V						V	V																																																																																																			V																																																																																						V																																																																	
샤프 포인트	공격성공률 증가 및 스킬 캐스팅 시간 감소	V	V										V						V	V																																																																																																			V																																																						V		V																																																																																															
문라잇 브레스	크리티컬 확률 및 크리티컬 시 공격력 증가 및 근거리와 원거리 회피율 증가	V	V										V						V	V																																																																											V					V																			V																																																									V	V																																																																																													
그로스 오브 라이프	생명포인트 증가	V	V										V						V	V																																																																																																			V																																																																																																												V																																											
마이트		V	V											V					V																												V					V	V	V				V																																																																	V																																																																																																																																																			
콜 오브 워터	물의 정령 '그리올리' 소환. 물정령의 힘으로 일정시간 동안 대상의 공격속도 감소	V	V		V									V					V	V																											V					V	V	V	V																																																																V					V		V																																																																																																																																																물정령소환수'그리올리'
<소환>콜 오브 워터		V												V					V				V		V																																																																													V																								V																																										V				V			V																																																							V																																								공격속도감소
<소환>콜 오브 워터<추가효과>		V												V					V																																				V																																																																							V																																																																																																								V																																								공격속도감소
콜 오브 파이어	불의 정령 '투우가' 소환. 불정령의 힘으로 일정시간 동안 대상의 불 지속데미지	V	V		V									V					V	V																											V					V	V	V	V																																																																V					V		V																																																																																																																																																불정령소환수'투우가'
<소환>콜 오브 파이어		V												V					V				V					V																												V			V																																											V																								V														V																												V				V			V																																																							V																																								불지속대미지
<소환>콜 오브 파이어<추가효과>		V												V					V																																					V			V																																																																			V														V																																																																																																																																		불지속대미지
콜 오브 윈드	공기의 정령 '실피드' 소환. 공기정령의 힘으로 일정시간 동안 대상의 명중률 감소	V	V		V									V					V	V																											V					V	V	V	V																																																																V					V		V																																																																																																																																																공기정령소환수'실피드'
<소환>콜 오브 윈드		V												V					V				V			V																																																																												V																								V																																										V				V			V																																																							V																																								명중률감소
<소환>콜 오브 윈드<추가효과>		V												V					V																																				V																																																																							V																																																	V																																																																																															명중률감소
스노우 헤저드	대상에게 얼음의 힘으로 공격	V	V	V										V					V	V										V				V													V					V	V	V				V	V																																					V		V																					V																																																																																																																																																							스턴효과
콜 오브 어스	땅의 정령 '그라디언' 소환. 땅정령의 힘으로 일정시간 동안 대상의 물리 방어력 감소	V	V		V									V					V	V																											V					V	V	V	V																																																																V					V		V																																																																																																																																																땅정령소환수'그라디언'
<소환>콜 오브 어스		V												V					V				V				V																																																																											V																								V																																										V				V			V																																																							V																																								물리방어력감소
<소환>콜 오브 어스<추가효과>		V												V					V																																				V																																																																							V																																																																						V																																																																										물리방어력감소
콜 오브 매직	마법의 정령 '머큐리' 소환. 마법정령의 힘으로 일정시간 동안 대상의 일반 공격 봉쇄	V	V		V									V					V	V																											V					V	V	V	V																																																																V					V		V																																																																																																																																																마법정령소환수'머큐리'
<소환>콜 오브 매직		V												V					V				V	V																																																																														V																								V																																										V				V			V																																																							V																																								공격봉쇄
<소환>콜 오브 매직<추가효과>		V												V					V																																				V																																																																							V																																																																																																																																																공격봉쇄
디센트 오브 썬더	대상에게 번개의 힘으로 공격	V	V	V										V					V	V											V			V								V					V					V	V	V				V																																																													V																																																																																																																																																							
포이즌 에어	원형 범위내 대상들을 독 공격	V	V	V										V					V	V									V					V						V							V					V	V	V	V			V	V									V																																											V								V																																																																																																																																																							독지속대미지
엘리멘탈 스톰	원형 범위내의 대상들을 정령데미지로 공격	V	V	V										V					V	V				V	V	V	V	V	V	V	V			V													V					V	V	V				V	V																																																												V																																																																																																																																																							
콜 오브 베놈	독의 정령 '베놈' 소환. 독정령의 힘으로 일정시간 동안 대상에게 독 지속데미지	V	V		V									V					V	V																											V					V	V	V	V																																																																V					V		V																																																																																																																																																독정령소환수'베놈'
<소환>콜 오브 베놈		V												V					V				V						V																																																																									V																								V																																										V				V			V																																																							V																																								독지속대미지
<소환>콜 오브 베놈<추가효과>		V												V					V																																				V													V																																																										V																																																																																																																																																독지속대미지
콜 오브 아이스	얼음의 정령 '시그너스' 소환. 얼음정령의 힘으로 일정시간 동안 대상의 이동속도 감소	V	V		V									V					V	V																											V					V	V	V	V																																																																V					V		V																																																																																																																																																얼음정령소환수'시그너스'
<소환>콜 오브 아이스		V												V					V				V							V																																																																								V																								V																																										V				V			V																																																							V																																								이동속도감소
<소환>콜 오브 아이스<추가효과>		V												V					V																																				V																																																																							V																																																																																															V																																																	이동속도감소
콜 오브 라이트닝	번개의 정령 '실버' 소환. 번개정령의 힘으로 일정시간 동안 대상에게 스턴공격	V	V		V									V					V	V																											V					V	V	V	V																																																																V					V		V																																																																																																																																																번개정령소환수'실버'
<소환>콜 오브 라이트닝		V												V					V				V								V																																																																	V																														V																																										V				V			V																																																							V																																								스턴효과
<소환>콜 오브 라이트닝<추가효과>		V												V					V																																																																															V																												V																																																																																																																																																스턴효과
홀리 그라운드	일정시간 동안 원형 범위안에서 생명력과 마나재생능력 증가	V	V											V					V	V																											V					V	V	V	V																																																																V							V				V																																																																																																																																												생명마나재생
<소환>홀리 그라운드		V												V					V																																					V			V																																																																			V																																																																																																																																																생명마나재생
<소환>홀리 그라운드<추가효과>		V												V					V																																								V																																														V	V																				V																																																																																																																																																생명마나재생
블레싱 오브 문라잇	일정시간 동안 정령 소환수의 정령속성 공격력 증가	V	V		V									V					V	V																											V					V	V	V	V																																																																V																																																												V	V	V	V	V					V	V	V	V	V																																																																														정령속성공격력증가
파인 스태프	일정시간 동안 스태프 데미지 증가	V	V		V									V					V	V																											V					V	V	V	V																																																																V																																																											V									V																																																																																			물리공격력증가
파인 차크람	일정시간 동안 차크람 데미지 증가	V	V		V									V					V	V																											V					V	V	V	V																																																																V																																																											V									V																																																																																			물리공격력증가
블레스 오브 페어리	일정시간 동안 자신의 생명력 증가	V	V		V									V					V	V																											V					V	V	V	V																																																																V																																																																																																												V																																											생명력증가
프로스트 아머	일정시간 동안 방어력 증가 및 근접한 적의 공격속도 감소	V	V		V									V					V	V																											V					V	V	V	V																																																																V							V																																																																						V																																																																										물리방어력증가
프로스트 아머<추가효과>		V												V					V																																				V																																																																																																																																																																															V																																								공격속도감소
소울 바리어	일정시간 동안 일정확률로 일반 공격 방어	V	V		V									V					V	V																											V					V	V	V	V																																															V																	V																																																																																																																																																							공격방어
리콜	파티원 소환	V	V		V									V					V	V																											V					V	V	V																																																																	V																																																																																																																																																							
라이트닝 피어	원거리 원형 범위 내에 대상들을 번개의 힘으로 공격한 후 일정시간 동안 이동속도 감소	V	V		V									V					V	V											V			V								V					V					V	V	V	V			V	V											V																																									V								V																																																																																																						V																																																	이동속도감소
하이퍼 소울 디펜스	자신을 포함한 정령 소환수의 정령속성 저항력 및 크리티컬 저항력 증가	V	V		V									V					V	V																											V					V	V	V	V																																																																V																																																																														V	V	V	V	V																																																																				V	정령속성저항력증가\n크리티컬저항력증가
인크리즈 게이트	정령 소환수의 개체 수 증가	V	V		V									V					V	V																											V					V	V	V	V																																																																V											V																																																																																																																																												소환수개체증가
디센트 오브 루나	자신을 포함한 정령 소환수의 생명력을 회복	V	V		V									V					V	V																											V					V	V	V				V	V																																																												V																																																																																																							V																																																
뮤테이션	일정시간 동안 적을 크리처로 변이	V	V		V									V					V	V																											V					V	V	V	V																																																																V						V																																																																																																																																																	크리처변이
엘리먼트 힐	자신과 정령 소환수의 생명력 증가	V	V											V					V	V																																																																																																			V																																																																																																																																																							생명증가
엘리먼트 힐<추가효과>																																																																																																																																																																																																																																			V																																											생명증가
디펜스 마스터	물리 방어력 증가	V	V											V					V	V																																																																																																			V																																																																													V																																																																										
컴뱃 마스터	물리 공격력 증가	V	V											V					V	V																																																																																																			V																																																											V									V																																																																																			
타임 리커버리	스킬의 지속시간 증가	V	V											V					V	V																																																																																																			V								V																																																																																																																																															
불속성망토																																																																																																																																																																																																																																																																														불정령속성공격력5증가\n불정령속성저항8%증가
물속성망토																																																																																																																																																																																																																																																																														물정령속성공격력5증가\n물정령속성저항8%증가
땅속성망토																																																																																																																																																																																																																																																																														땅정령속성공격력5증가\n땅정령속성저항8%증가
공기속성망토																																																																																																																																																																																																																																																																														공기정령속성공격력5증가\n공기정령속성저항8%증가
마법속성망토																																																																																																																																																																																																																																																																														마법정령속성공격력5증가\n마법정령속성저항8%증가
디텍트스킬																																																																																																																																																																																																																																																																														인비저블무력화
데이 앤 나이트	낮과 밤을 자유자재로 바꿈	V	V																V																																	V																																																																																																																																																																																																																										
로드 하울링	모든 유저에게 메시지 전달\n명령어 [/archlord 메시지]	V	V																V																																	V																																																																																																																																																																																																																										
메테오릭 샤워	하늘로 부터 거대한 불덩어리가 떨어짐	V	V	V															V															V																		V						V	V																																																																																																																																																																																																																			
이블 라이트	아크로드와 동급의 몬스터 소환	V	V		V														V																																	V	V		V																																																																							V				V																																																																																																																																												몬스터소환
콜 로얄 나이츠	아크로드를 호위하는 3명의 로얄나이츠 소환											V	V		V																																																																																																																																																																																																																																																															
콜 드래곤	알카디아를 호출	V															V																																																																																																										V																																																																																																																																																			
레인 컨트롤	5분 동안 비를 내리게 컨트롤																																																																																																																																																																																																																																																																													
스노우 컨트롤	5분 동안 눈을 내리게 컨트롤																																																																																																																																																																																																																																																																													
종족전버프																																																																																																																																																																																																																																																																														경험치30%증가
복합물약																																																																																																																																																																																																																																																																														복합물약
람다																																																																																																																																																																																																																																																																														펫람다\n물리공격력5증가
<소환>람다																																																																																																																																																																																																																																																																														
멀쿤																																																																																																																																																																																																																																																																														펫멀쿤\n물리공격력5증가
<소환>멀쿤																																																																																																																																																																																																																																																																														
아브라햐																																																																																																																																																																																																																																																																														펫아브라햐\n물리공격력5증가
<소환>아브라햐																																																																																																																																																																																																																																																																														
루돌프																																																																																																																																																																																																																																																																														펫루돌프\n물리공격력5증가\n물리방어력5증가
<소환>루돌프																																																																																																																																																																																																																																																																														
조각케익																																																																																																																																																																																																																																																																														물리공격력3증가\n물리방어력3증가
케익																																																																																																																																																																																																																																																																														물리공격력5증가\n물리방어력5증가
천사의날개																																																																																																																																																																																																																																																																														이동속도10%증가
절대자의날개																																																																																																																																																																																																																																																																														이동속도10%증가
각성의부적plus																																																																																																																																																																																																																																																																														경험치획득35%증가\n겔드드롭량20%증가
렌즈스톤plus																																																																																																																																																																																																																																																																														스킬캐스팅30%감소\n스킬재캐스팅30%감소
얼음속성망토																																																																																																																																																																																																																																																																														얼음정령속성공격력5증가\n얼음정령속성저항8%증가
번개속성망토																																																																																																																																																																																																																																																																														번개정령속성공격력5증가\n번개정령속성저항8%증가
독속성망토																																																																																																																																																																																																																																																																														독정령속성공격력5증가\n독정령속성저항8%증가
악마의날개																																																																																																																																																																																																																																																																														이동속도15%증가
박쥐의날개																																																																																																																																																																																																																																																																														이동속도15%증가
금시조의 날개																																																																																																																																																																																																																																																																														이동속도10%증가
불사조의 날개																																																																																																																																																																																																																																																																														이동속도10%증가
세라자란																																																																																																																																																																																																																																																																														펫세라자란\n물리공격력3증가
<소환>세라자란																																																																																																																																																																																																																																																																														
정령지배의망토																																																																																																																																																																																																																																																																														모든정령속성공격력5증가\n모든정령속성저항8%증가
라이트닝 베인	원형 범위 내에 번개 정령속성 공격	V	V			V													V	V											V			V								V					V				V	V	V	V				V	V																																																												V																																																																																																																																																							
파워 스마이트	대상에게 물리 공격을 한 후 일정시간 동안 대상의 블럭률 감소	V	V			V													V	V														V													V				V	V	V	V	V																																																																V																																																																																							V																																																																블럭률감소
리듀스 그라운드	직선 범위에 땅 정령속성 공격을 한 후 일정시간 동안 대상의 정령속성 공격력 감소	V	V			V													V	V							V							V				V									V				V	V	V	V	V					V	V																																																										V																																																												V	V	V	V	V					V	V	V	V	V																																																																														정령속성공격력감소
스킨터치	대상에게 물리 공격을 한 후 일정시간 동안 대상의 물리 공격력 감소	V	V			V													V	V														V													V				V	V	V	V	V																																																																V																																																											V									V																																																																																			물리공격력감소
마칭 송	[파티] 일정시간 동안 원형 범위 내에 자신과 파티원에게 체력 및 힘 수치 증가	V	V			V													V	V																											V				V	V	V	V	V																																																																V																																					V	V																																																																																																																	체력및힘증가
