고통의 입구	Gate of Pain
윈드릴의 서쪽 입구	Windrill Western Entrance
나무꾼의숲	Woodcutter Pass
숭배자 정착지	Worshipper Settlement
숭배자정착지	Worshipper Settlement
우더링	Wuthering
야아란	Yaran
약탈의 평원	Zeno Plain
자일록	Zylok
배틀게이트 자일록	Zylok Battlegate 
도시 자일록	Zylok City
길드 경기장 주변	Around Guild Battle Arena
데리벨 길드 전투 경기장	Deribelle Guild Battle Arena
시련의 방	Hero's Reception
아르시안 비밀의 던전	Arthian Castle's Secret Dungeon
인플레임 비밀의 던전	 Inflame Castle's Secret Dungeon
트라쿠아 비밀의 던전	Traqua Castle's Secret Dungeon
아르시안 비밀의 던전 입구	Arthian Castle's Secret Dungeon
인플레임 비밀의 던전 입구	 Inflame Castle's Secret Dungeon
트라쿠아 비밀의 던전 입구	Traqua Castle's Secret Dungeon
의식의 방	Hero's Reception
인고의 방	Hero's Reception
파멸의 방	Chamber of Ruin
툴란 길드 전투 경기장	Tullan Guild Battle Arena
트릴가드 길드 전투 경기장	Trilgard Guild Battle Arena
얼음 정령계	The Frozen Infinity
독 정령계	Evergreen Paradise
번개 정령계	Teslon Outpost
붉은 궁륭	Red groin
디스호프의 땅	Land of Dishope
군주의 좌	Tyranny's Throne
비명의 숲	Forest of Scream
얼음의 대지	Land of Ice
지하 감옥 1층	Dungeon 1F
지하 감옥 2층	Dungeon 2F
고통의 숲	Forest of Pain
절망의 탑	Tower of Despair
무한 지대	Infinity Hunt Event
무한 지대 마을	Infinity Hunt Event Town
